cleaned_message,label
guy close,0
pleas come imin town dontmatt urgoin outl reallyne docd pleas dontpleas dontignor mycal thecd isv import tome moro,0
ok sri knw siva tat askd,0
see prolli yeah,0
see swing bit got thing take care firsg,0
shall book chez jule half eight ok,0
thank messag realli appreci sacrific sure process direct pay find way back test tomorrow class wonder day,0
feb lt gt love day send di ur valu frnd evn come back gt marri person luv ignor di lose ur luv evr,0
ok chines food way get fat pay lipo,0
free nokia motorola upto mth price linerent free net min txt mth free tooth call mobileupd call optout wv,1
ju came back fr lunch wif si leh,0
yup elabor safeti aspect issu,0
ok lor anyway thk cant get ticket co like quit late alreadi wan go look ur fren darren wif,0
helloooo wake sweet morn welcom enjoy day full joy gud mrng,0
pl call da happen,0
call use ur min call cast min mob vari servic provid aom gbp month aom box er stop age,1
awak snow,0
hmph go head big baller,0
gon na blake night might abl get littl earli,0
thanx lot,0
oh ic thought meant mari jane,0
got tv watch meh work today,0
want new video phone anytim network min half price line rental free text month repli call free deliveri,1
notic like look shit mirror your turn right freak,0
manag puzzel,0
tension face smile face wast face innoc face terror face cruel face romant face lovabl face decent face lt gt joker face,0
sunni california weather cool,0
fyi usf swing room whenev,0
ask sen come chennai search job,0
love want flood pretti pussi cum,0
go esplanad fr home,0
import custom servic announc call freephon,1
wish great semest,0
hi happi birthday hi hi hi hi hi hi hi,0
get opinion someth first,0
done internet connect slow send tri later first thing tomo,0
anyth lor,0
go film day da pm sorri da,0
thought put back box,0
import custom servic announc call freephon,1
dai da send resum id,0
ye appt,0
done mean,0
told hr want post chennai work,0
know god creat gap finger one made come amp fill gap hold hand love,0
thought slide enough,0
god bless get good sleep dear pray,0
call one pick phone ask alreadi said ok,0
free day finish mon thur,0
ur cash balanc current pound maxim ur cash send go msg cc hg suit land row hl,1
babe want dont babi im nasti thing filthyguy fanci rude time sexi bitch go slo hard txt xxx slo msg,1
noe wat time place dat sell close,0
one joy lifei wake daywith thought somewheresomeon care enough tosend warm morn greet,0
juz rememb got ta bath dog today,0
went project centr,0
take care financi problem help,0
msg ju said thank gift,0
yoyyooo know chang permiss drive mac usb flash drive,0
watch hous entertain get whole hugh lauri thing even stick inde especi stick,0
want explicit sex sec ring cost min gsex pobox wc xx,1
sure see come bit,0
borrow ur bag ok,0
free rington text first poli text get true tone help st free tone pw nd txt stop,1
dont know oh hope month,0
den wat schedul lk sun,0
uh head much left,0
hard live chat min choos girl connect live call cheap chat uk biggest live servic vu bcm wc xx,1
sir wait call free pleas call,0
plan usual stop find hella weed smoke hella weed,0
nt joke serious told,0
ranjith cal drpd deeraj deepak min hold,0
give time walk,0
sorri bathroom sup,0
aiyar hard type later free tell call scold tell,0
takin linear algebra today,0
abl anyth,0
privat account statement show un redeem point call identifi code expir,1
nokia phone lovli,0
oh ho first time use type word,0
one talk,0
keep away like,0
mean still think teju,0
cheer tex mecaus werebor yeah okden hunni uin wk sat sound likeyour havin gr fun keep updat countinlot lovem xxxxx,0
thk wat eat tonight,0
puriti friendship two smile read forward messag smile see name gud evng,0
shoot doc wait room,0
thank continu support question week enter draw cash name new us presid txt an,1
go send,0
urgent nd attempt contact call csbcm wc xx callcost ppm mobilesvari max,1
babe fuck love know fuck good hear voic need crave get enough ador ahmad kiss,0
erm ill pick pm give enough time get park,0
dun drive go sch,0
beauti truth graviti read care heart feel light someon feel heavi someon leav goodmorn,0
cash prize claim call rstm sw ss ppm,1
think da wil,0
horribl gal knew dat go wif yest still come ask,0
sim subscrib select receiv bonu get deliv door txt word ok claim msg exp apr,1
shower babi,0
yup hey one day fri ask miwa jiayin take leav go karaok,0
ex wife abl kid want kid one day,0
wamma get laid want real doggin locat sent direct mobil join uk largest dog network txt dog nyt ec lp msg,1
noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also differ sure trust ja person send account detail co,0
messag text miss sender name miss number miss sent date miss miss lot that everyth miss sent via fullonsm com,0
prof pass paper sem congrat student enna kalaachutaarama prof gud mrng,0
work ah den plu lor workin oso rite den go orchard lor place go liao,0
yay final lol miss cinema trip last week,0
home work meh,0
kalli home ground amla home town durban,0
havent,0
probabl eat today think gon na pop weekend miss,0
dont worri guess busi,0
thing chang sentenc want concentr educ career im leav,0
congrat kano whr treat maga,0
sorri troubl buy dad big small sat sun thanx,0
thank rington order refer number mobil charg tone arriv pleas call custom servic,1
hi ibh custom loyalti offer new nokia mobil txtauction txt word start get,1
wat tht incid,0
flippin shit yet,0
ur paper,0
ye princess want pleas everi night wish command,0
guy get back said think stay mcr,0
contract mobil mnth latest motorola nokia etc free doubl min text orang tariff text ye callback remov record,1
excel wish togeth right,0
valu custom pleas advis follow recent review mob award bonu prize call,1
hey almost forgot happi day babe love ya,0
home ard wat time reach,0
sometim put wall around heart safe get hurt find care enough break wall amp get closer goodnoon,0
rememb old commerci,0
co shop wif darren ju call ask wat present wan lor start guess wif final guess darren lor,0
anyth lor decid,0
sorri vikki watch olav mandara movi kano trishul theatr wit frnd,0
ok tell stay yeah tough optimist thing improv month,0
dude like buff wind,0
happi new year princess,0
alright thank advic enjoy night tri get sleep,0
ok later show around want cld drink wld prefer spend money nosh mind nxt wk,0
sef dey laugh meanwhil darl anji,0
fuck babe miss sooooo much wish sleep bed lone go sleep dream love,0
noth smsing xy lor sorri lor da guy neva person sort know lor wan meet xy ask bring along next meet,0
schedul next week town weekend,0
ah well confus thing,0
hi kate give ring asap xxx,0
run away frm walk slowli amp kill care enough stop,0
convey regard,0
yeah leav hour least sound,0
ujhhhhhhh comput ship address sandiago parantella lane wtf poop,0
ye princess toledo,0
say slowli god love amp need clean heart blood send ten special peopl amp miracl tomorrow pl pl,0
done oredi,0
